47.46815793	16.00139262	Yemen
45.05490832	40.17841274	Armenia
48.63459267	40.39205099	Azerbaijan
66.37591935	47.6414652	Kazakhstan
74.17532903	41.35698905	Kyrgyzstan
63.85482976	41.48790652	Uzbekistan
105.7020951	-10.4464408	Christmas Island
96.83688767	-12.17124945	Cocos Islands
113.9653825	0.1559197996	Indonesia
125.9502405	-8.809894631	Timor-Leste
134.0227717	-25.69733767	Australia
166.9293763	-0.5221021441	Nauru
165.5076704	-21.33003373	New Caledonia
167.952596	-29.03765445	Norfolk Island
144.8348943	-7.156912819	Papua New Guinea
160.164758	-9.613104735	Solomon Islands
179.217834	-8.514701506	Tuvalu
166.8491274	-15.18913212	Vanuatu
105.0397308	12.69918687	Cambodia
103.763759	18.11728274	Laos
114.633303	3.671660856	Malaysia
97.08892285	19.90122793	Myanmar
103.8102576	1.352825189	Singapore
101.0867512	13.66222785	Thailand
105.9133883	16.51734717	Vietnam
90.43212563	23.67372867	Bangladesh
90.46716647	27.42163934	Bhutan
104.6911386	38.07325481	China
114.6430958	4.54320589	Brunei Darussalam
121.8220894	15.58654225	Philippines
127.7622455	36.40238671	South Korea
103.398736	47.08644455	Mongolia
127.3379806	40.19198091	North Korea
144.7802446	13.44543048	Guam
137.4693423	36.76738833	Japan
168.7201603	7.307929901	Marshall Islands
158.2291899	6.878944813	Micronesia
145.7411974	15.17806352	Northern Mariana Islands
134.5796509	7.534775853	Palau
98.67049907	59.03943421	Russian Federation
98.67049907	59.03943421	Russia
-3.651625141	40.36500834	Spain
-16.53799441	28.29766511	Canarias
